City Feature,Common Name,Address,Website,Longitude,Latitude
Landmarks,Seattle Labor Temple,2800 1st Ave,,-122.35176,47.61683
Landmarks,Lake City Library,12501 28th Av NE,http://seattle.gov/neighborhoods/preservation/l.htm,-122.298092,47.719593
Landmarks,*Kinnear Park,988 W Olympic Pl,http://seattle.gov/neighborhoods/preservation/k.htm,-122.367113,47.627732
Landmarks,West Seattle Library,2306 42nd Av SW,http://seattle.gov/neighborhoods/preservation/w.htm,-122.384738,47.582717
Landmarks,Douglass-Truth Library,2300 E Yesler Way,http://seattle.gov/neighborhoods/preservation/d.htm,-122.301954,47.601917
Landmarks,University Library,5009 Roosevelt Way,http://seattle.gov/neighborhoods/preservation/u.htm,-122.317913,47.665249
Landmarks,Fremont Library,731 N 35th St,http://seattle.gov/neighborhoods/preservation/f.htm,-122.348446,47.650045
Landmarks,*Madison Middle School,3429 45th Ave SW,http://seattle.gov/neighborhoods/preservation/m.htm,-122.390217,47.572948
Landmarks,*Roosevelt High School,1410 NE 66th St,http://seattle.gov/neighborhoods/preservation/r.htm,-122.312823,47.677237
Landmarks,*Hat N Boots,6910 E Marginal Wy S,http://seattle.gov/neighborhoods/preservation/h.htm,-122.324067,47.541164
Landmarks,*Providence Hospital 1910 Bldg,528 17th Ave,http://seattle.gov/neighborhoods/preservation/p.htm,-122.309672,47.607071
Landmarks,Seattle Monorail,,http://seattle.gov/neighborhoods/preservation/s.htm,-122.349697,47.62124
Landmarks,*Seward Park Inn/Annex,5900 Lake Washington Blvd S,http://seattle.gov/neighborhoods/preservation/s.htm,-122.256274,47.549636
Landmarks,*Golden Gardens Bath House,8001 Seaview Ave NE,http://seattle.gov/neighborhoods/preservation/g.htm,-122.403969,47.691776
Landmarks,*Gibbs House,1000 Warren Ave N,http://seattle.gov/neighborhoods/preservation/g.htm,-122.353671,47.628383
Landmarks,*California Avenue Substation,4304 SW Dakota St.,http://seattle.gov/neighborhoods/preservation/c.htm,-122.387033,47.566767
Landmarks,*Cooper Elementary School,4408 Delridge Way SW,http://seattle.gov/neighborhoods/preservation/c.htm,-122.363004,47.563799
Landmarks,*Mt Baker Presbyterian Church,3201 Hunter Blvd S,http://seattle.gov/neighborhoods/preservation/,-122.28536,47.574989
Landmarks,Querio House,9326 7th Ave S,http://seattle.gov/neighborhoods/preservation/q.htm,-122.324666,47.519734
Landmarks,Fort Lawton Chapel,3801 W Government Way,http://seattle.gov/neighborhoods/preservation/f.htm,-122.412766,47.655608
Landmarks,Seattle Fire Station #16,6846 Oswego Pl NE,http://seattle.gov/neighborhoods/preservation/s.htm,-122.323253,47.679082
Landmarks,Seattle Fire Station #37,7302 35th Ave SW,http://seattle.gov/neighborhoods/preservation/s.htm,-122.376235,47.537187
Landmarks,Sorrento Hotel,900 Madison St,,-122.32693,47.60898
Landmarks,Central Building,810 Third Ave,,-122.33261,47.60471
Landmarks,Ankeny House,912 2nd Ave W,,-122.35893,47.6271
Landmarks,Dr. Annie Russell House,5721 8th Ave NE,,-122.32053,47.67062
Landmarks,Washington Hall,153 14th Ave,,-122.31458,47.60285
Landmarks,Egan House,1500 Lakeview Blvd,,-122.32256,47.63239
Landmarks,20th Ave Ne Bridge,Ravenna Park,http://seattle.gov/neighborhoods/preservation/,-122.306489,47.671668
Landmarks,Tugboat Arthur Foss,1002 Valley St,http://seattle.gov/neighborhoods/preservation/t.htm,-122.368137,47.654637
Landmarks,Arboretum Aqueduct,Lake Washington Blvd,http://seattle.gov/neighborhoods/preservation/a.htm,-122.297002,47.639565
Landmarks,Seattle - Chief Of Suquamish Statue Tillicum Place,"intersection of 5th Ave., Denny Wy, and Cedar St",http://seattle.gov/neighborhoods/preservation/s.htm,-122.347434,47.618399
Landmarks,Schooner Wawona,1002 Valley St,http://seattle.gov/neighborhoods/preservation/s.htm,-122.335827,47.62679
Landmarks,E Republican St Stairway,E Republican St / Bellevue Ave E,http://seattle.gov/neighborhoods/preservation/e.htm,-122.327442,47.623125
Landmarks,*St Clocks:  Ben Bridge Jewelers,409 Pike St,http://seattle.gov/neighborhoods/preservation/b.htm,-122.336228,47.610217
Landmarks,*St Clocks:  Myers Music,1206 1st Ave,http://seattle.gov/neighborhoods/preservation/,-122.337554,47.606364
Landmarks,1st Avenue Groups/Waterfront Center:  Grand Pacific Hotel,1117 1st Ave,http://seattle.gov/neighborhoods/preservation/f.htm,-122.337517,47.605793
Landmarks,1st Avenue Groups/Waterfront Center:  Colman Building,801-821 1st Ave,http://seattle.gov/neighborhoods/preservation/c.htm,-122.337377,47.605359
Landmarks,1st Avenue Groups/Waterfront Center:  Colonial Hotel,94-96 Spring St,http://seattle.gov/neighborhoods/preservation/f.htm,-122.337297,47.605537
Landmarks,1st Avenue Groups/Waterfront Center:  Hotel  Cecil,1019-1023 1st Ave,http://seattle.gov/neighborhoods/preservation/f.htm,-122.336964,47.605146
Landmarks,St James Cathedral Rectory / Site,9th Ave & Marion St,http://seattle.gov/neighborhoods/preservation/s.htm,-122.325833,47.607577
Landmarks,Schmitz Park Bridge,SW Admiral Way / SW Stevens St,http://seattle.gov/neighborhoods/preservation/s.htm,-122.403412,47.577235
Landmarks,Hiawatha Playfield,2700 California Ave SW,http://seattle.gov/neighborhoods/preservation/h.htm,-122.384999,47.57839
Landmarks,*West Seattle High School,4075 SW Stevens St,http://seattle.gov/neighborhoods/preservation/w.htm,-122.384589,47.576874
Landmarks,*Duwamish Railroad Bridge,RR Lines S of Spokane St Bridge over Duwamish Waterway,http://seattle.gov/neighborhoods/preservation/d.htm,-122.352125,47.570031
Landmarks,*Queen Anne Boulevard,,http://seattle.gov/neighborhoods/preservation/q.htm,-122.36025,47.639602
Landmarks,Norvell House,3306 NW 71st St,http://seattle.gov/neighborhoods/preservation/n.htm,-122.400107,47.680403
Landmarks,*St Clocks:  Greenwood Jewelers,129 N 85th St,http://seattle.gov/neighborhoods/preservation/g.htm,-122.356625,47.690368
Landmarks,*Nathan Eckstein Junior High School,3003 NE 75th St,http://seattle.gov/neighborhoods/preservation/n.htm,-122.294551,47.682235
Landmarks,Drake House,6414 22nd Ave NW,http://seattle.gov/neighborhoods/preservation/d.htm,-122.384407,47.675711
Landmarks,New Age Christian Church,1763 NW 62nd St,http://seattle.gov/neighborhoods/preservation/n.htm,-122.381662,47.673589
Landmarks,Old Fire Station #18,5427 Russell Ave NW,http://seattle.gov/neighborhoods/preservation/o.htm,-122.383124,47.668315
Landmarks,Louisa Building,5220 20th Ave NW,http://seattle.gov/neighborhoods/preservation/l.htm,-122.381912,47.667393
Landmarks,*University Heights Elementary School,5031 University Wy NE,http://seattle.gov/neighborhoods/preservation/u.htm,-122.313601,47.665737
Landmarks,*B.F. Day School,3921 Linden Ave N,http://seattle.gov/neighborhoods/preservation/b.htm,-122.349175,47.654802
